Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
RD Gaikwad (CSK),2020-2020,6,6,2,204,72,51.00,169,120.71,-,3,2,16,6
MS Dhoni (CSK),2020-2020,14,12,4,200,47*,25.00,172,116.27,-,-,-,16,7
RV Uthappa (RR),2020-2020,12,12,-,196,41,16.33,164,119.51,-,-,-,19,7
SM Curran (CSK),2020-2020,14,11,3,186,52,23.25,141,131.91,-,1,2,12,12
SO Hetmyer (DC),2020-2020,12,11,3,185,45,23.12,125,148.00,-,-,-,11,12
KD Karthik (KKR),2020-2020,14,14,2,169,58,14.08,134,126.11,-,1,3,20,4
PJ Cummins (KKR),2020-2020,14,11,4,146,53*,20.85,114,128.07,-,1,-,9,8
PK Garg (SRH),2020-2020,14,10,1,133,51*,14.77,111,119.81,-,1,1,9,4
Mandeep Singh (KXIP),2020-2020,7,7,1,130,66*,21.66,109,119.26,-,1,2,10,4
S Dube (RCB),2020-2020,11,9,2,129,27*,18.42,105,122.85,-,-,-,5,9
SP Narine (KKR),2020-2020,10,9,-,121,64,13.44,85,142.35,-,1,2,10,8
AD Russell (KKR),2020-2020,10,9,-,117,25,13.00,81,144.44,-,-,-,9,9
AR Patel (DC),2020-2020,15,9,1,117,42,14.62,85,137.64,-,-,-,6,8
AM Rahane (DC),2020-2020,9,8,-,113,60,14.12,107,105.60,-,1,2,12,2
JC Archer (RR),2020-2020,14,10,4,113,27*,18.83,63,179.36,-,-,-,5,10
Abdul Samad (SRH),2020-2020,12,8,3,111,33,22.20,65,170.76,-,-,-,8,6
Washington Sundar (RCB),2020-2020,15,9,3,111,30,18.50,95,116.84,-,-,-,10,2
KH Pandya (MI),2020-2020,16,12,6,109,34,18.16,92,118.47,-,-,1,9,5
GJ Maxwell (KXIP),2020-2020,13,11,4,108,32,15.42,106,101.88,-,-,1,9,0
SS Tiwary (MI),2020-2020,7,5,-,103,42,20.60,80,128.75,-,-,-,8,3
DJ Hooda (KXIP),2020-2020,7,5,4,101,62*,101.00,71,142.25,-,1,1,5,5
V Shankar (SRH),2020-2020,7,5,1,97,52*,24.25,96,101.04,-,1,1,10,1
R Parag (RR),2020-2020,12,8,1,86,42*,12.28,77,111.68,-,-,2,6,3
TK Curran (RR),2020-2020,5,4,3,83,54*,83.00,62,133.87,-,1,-,5,3
JR Philippe (RCB),2020-2020,5,5,1,78,33,19.50,77,101.29,-,-,1,9,1
Gurkeerat Singh (RCB),2020-2020,8,5,5,71,21*,0.00,80,88.75,-,-,-,8,0
Abhishek Sharma (SRH),2020-2020,8,7,2,71,31,14.20,56,126.78,-,-,-,6,3
JO Holder (SRH),2020-2020,7,4,2,66,26*,33.00,53,124.52,-,-,-,5,3
KM Jadhav (CSK),2020-2020,8,5,2,62,26,20.66,66,93.93,-,-,-,7,0
MK Lomror (RR),2020-2020,3,3,-,59,47,19.66,54,109.25,-,-,-,2,3
K Rabada (DC),2020-2020,17,8,4,56,15*,14.00,49,114.28,-,-,1,4,2
LH Ferguson (KKR),2020-2020,5,2,2,43,24*,0.00,29,148.27,-,-,-,4,1
K Gowtham (KXIP),2020-2020,2,2,1,42,22*,42.00,27,155.55,-,-,-,3,2
YBK Jaiswal (RR),2020-2020,3,3,-,40,34,13.33,44,90.90,-,-,1,2,2
S Gopal (RR),2020-2020,14,5,1,37,23*,9.25,39,94.87,-,-,-,3,0
R Ashwin (DC),2020-2020,15,6,3,37,14*,12.33,34,108.82,-,-,-,3,1
Rashid Khan (SRH),2020-2020,16,7,3,35,14,8.75,30,116.66,-,-,1,3,2
CH Morris (RCB),2020-2020,9,5,1,34,25*,8.50,21,161.90,-,-,1,2,3
N Jagadeesan (CSK),2020-2020,5,2,-,33,33,16.50,29,113.79,-,-,1,4,0
SN Khan (KXIP),2020-2020,5,3,1,33,14*,16.50,29,113.79,-,-,-,5,0
M Vijay (CSK),2020-2020,3,3,-,32,21,10.66,43,74.41,-,-,-,4,0
AT Carey (DC),2020-2020,3,3,1,32,14*,16.00,29,110.34,-,-,-,0,1
